state,type,title,url,description,subject,is_valid_url,is_state,is_valid
Colorado,CICA,Right to Abortion and Health Insurance Coverage Initiative,https://ballotpedia.org/Colorado_Right_to_Abortion_and_Health_Insurance_Coverage_Initiative_(2024),Create a right to abortion in the state constitution and repeal constitutional provision banning the use of public funds for abortion,,1,1,1
Florida,LRCA,Amendment 1,"https://ballotpedia.org/Florida_Amendment_1,_Partisan_School_Board_Elections_Amendment_(2024)",Changes school board elections from nonpartisan to partisan beginning in the November 2026 general election and for primary elections nominating party candidates for the 2026 election,,1,1,1
Florida,LRCA,Amendment 2,"https://ballotpedia.org/Florida_Amendment_2,_Right_to_Hunt_and_Fish_Amendment_(2024)",Establishes a state constitutional right to hunt and fish,,1,1,1
Florida,CICA,Amendment 3,"https://ballotpedia.org/Florida_Amendment_3,_Marijuana_Legalization_Initiative_(2024)",Legalize marijuana for adults 21 years old and older,,1,1,1
Florida,CICA,Amendment 4,"https://ballotpedia.org/Florida_Amendment_4,_Right_to_Abortion_Initiative_(2024)",Provide a state constitutional right to abortion before fetal viability,,1,1,1
Florida,LRCA,Amendment 5,"https://ballotpedia.org/Florida_Amendment_5,_Annual_Inflation_Adjustment_for_Homestead_Property_Tax_Exemption_Value_Amendment_(2024)",Provide for an annual inflation adjustment for the value of the homestead property tax exemption,,1,1,1
Florida,LRCA,Amendment 6,"https://ballotpedia.org/Florida_Amendment_6,_Repeal_of_Public_Financing_for_Statewide_Campaigns_Amendment_(2024)",Repeal a constitutional provision providing for public campaign financing for candidates who agree to spending limits,,1,1,1
Hawaii,LRCA,Judicial Appointments and Confirmations Amendment,https://ballotpedia.org/Hawaii_Judicial_Appointments_and_Confirmations_Amendment_(2024),Change the process for appointing and confirming district court judges to be the same as that used for supreme court justices and other higher court judges,,1,1,1
Hawaii,LRCA,Remove Legislature Authority to Limit Marriage to Opposite-Sex Couples Amendment,https://ballotpedia.org/Hawaii_Remove_Legislature_Authority_to_Limit_Marriage_to_Opposite-Sex_Couples_Amendment_(2024)#The_state_process,"Remove provision of the constitution saying that ""the legislature shall have the power to reserve marriage to opposite-sex couples""",,1,1,1
Idaho,LRCA,Citizenship Voting Requirement for Voting Amendment,https://ballotpedia.org/Idaho_Citizenship_Requirement_for_Voting_Amendment_(2024),Amend the Idaho Constitution to provide that only a citizen of the United States can vote in the state,,1,1,1
Idaho,CISS,Top-Four Ranked-Choice Voting Initiative,https://ballotpedia.org/Idaho_Top-Four_Ranked-Choice_Voting_Initiative_(2024),"Replace partisan primaries with open top-four primaries for the U.S. Senate, the U.S. House of Representatives, state legislature, elective state office, and county elective office; and establish ranked-choice voting for general elections, in which voters would rank the candidates",,1,1,1
